 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32
Time(s)/Cell Status, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided
10.67415730337079, 0, 0, 0, 0, 10.51857, 0, 1.168135, 1.192093e-07, 0.4712704, 0.4172234, 0.5712113, 2.433947, 0.7541663, 0, 30.87944, 0.2054067, 1.078224, 0, 0.5652313, 1.046858, 1.215349, 7.722467, 0.7658051, 0, 0.6887803, 3.279225, 1.923556, 0.615292, 0.3844626, 1.31452, 0, 2.49907, 1.120477
11.23595505617978, 0, 0, 0, 0, 9.944468, 0, 1.001469, 5.960464e-08, 0.4408757, 0.3919201, 0.5188167, 6.661831, 0.6744044, 0, 29.68169, 0.1963289, 1.020366, 0, 0.9902122, 0.9780029, 1.162523, 7.210163, 0.7172173, 0, 0.6576092, 3.013638, 1.83444, 0.5884297, 1.964439, 1.245681, 0, 2.209764, 1.006564
11.79775280898876, 0, 0, 0, 0, 9.68071, 0, 0.8585822, 5.960464e-08, 0.4124414, 0.3681515, 0.4712281, 12.70204, 0.6030784, 0, 34.02033, 0.1876522, 0.9656135, 0, 0.9203842, 2.428547, 1.111994, 6.731845, 0.6717122, 0, 0.6278487, 2.769563, 1.749453, 0.5627402, 1.844473, 1.180448, 0, 1.953949, 0.9042317
12.35955056179775, 0, 0, 0, 0, 9.15234, 0, 0.7360821, 1.192093e-07, 0.385841, 0.3458243, 0.4280045, 20.43736, 0.5392959, 0, 34.12332, 0.179359, 0.9137986, 0, 0.8554804, 2.268813, 1.06366, 7.820699, 0.6290942, 0, 0.599435, 2.545254, 1.668404, 0.5381722, 1.731834, 1.11863, 0, 1.727749, 0.8123033
12.92134831460674, 0, 0, 0, 0, 8.652807, 0, 0.6310601, 5.960464e-08, 0.3609561, 0.3248512, 0.3887456, 24.3046, 0.4822591, 0, 32.62905, 0.1714323, 0.8647642, 0, 0.7951536, 2.119586, 1.017428, 7.301877, 0.5891802, 0, 0.5723073, 2.339113, 1.591109, 0.5146769, 1.626073, 1.06005, 0, 1.527735, 0.7297208
13.48314606741573, 0, 0, 0, 0, 8.18054, 0, 0.5410222, 5.960464e-08, 0.3376761, 0.30515, 0.9932678, 27.33062, 0.4312546, 0, 36.26761, 0.4506069, 0.8183609, 0, 0.7390808, 1.980174, 0.9732047, 6.817475, 0.5517986, 0, 0.5464072, 2.149667, 1.517395, 0.4922072, 1.526771, 1.004537, 0, 1.350876, 1.731132
14.04494382022472, 0, 0, 0, 0, 10.71012, 0, 0.655965, 5.960464e-08, 0.3158976, 0.2866437, 0.9021599, 31.15788, 0.3856444, 0, 34.67944, 0.4306926, 0.7744475, 0, 0.6869622, 1.849932, 0.9309039, 7.003738, 0.5167887, 0, 0.5216793, 1.975565, 1.447096, 1.222161, 1.433533, 0.9519314, 0, 1.194491, 1.555137
14.60674157303371, 0, 0, 0, 0, 10.12556, 0, 0.5876386, 5.960464e-08, 0.2955238, 0.2692597, 0.819409, 28.782, 0.3448581, 0, 35.91031, 0.4116584, 0.7328906, 0, 0.6385189, 1.728256, 0.8904418, 6.539114, 0.4840001, 0, 0.4980704, 1.815563, 1.380054, 1.168804, 1.345989, 0.9020807, 0, 1.05621, 1.397035
15.1685393258427, 0, 0, 0, 0, 9.572912, 0, 0.503796, 5.960464e-08, 0.276464, 0.25293, 0.7442484, 27.21324, 0.3083853, 0, 34.33778, 0.3934654, 0.6935636, 0, 0.5934918, 1.614583, 0.8517385, 6.105313, 0.4532919, 0, 0.4755299, 1.668519, 1.316118, 1.67171, 1.263792, 0.8548406, 0, 0.933937, 1.255005
15.73033707865168, 0, 0, 0, 0, 9.914489, 0, 0.4319159, 5.960464e-08, 0.2586334, 0.2375906, 0.675982, 25.13815, 0.27577, 0, 32.83411, 0.3797943, 0.6563469, 0, 0.5516399, 1.508386, 0.8147172, 6.241754, 0.424532, 0, 0.4540096, 1.533385, 1.255144, 1.598727, 1.186614, 0.8100744, 0, 0.8258192, 1.127416
